"Colkat","Familie","Genus","Art","Ref","xylobiont","Rote.Liste","Urwaldrelikt"
"80-.005-.005-.","Melandryidae","Orchesia","fasciata","(Illiger, 1798)","j","3","n"
"80-.005-.006-.","Melandryidae","Orchesia","undulata","(Kraatz, 1853","j","n","n"
"80-.006-.001-.","Melandryidae","Anisoxya","fuscula","(Illiger, 1798)","j","3","n"
"80-.016-.001-.","Melandryidae","Melandrya","caraboides","(Linnaeus, 1760)","j","3","n"
"80-.018-.001-.","Melandryidae","Conpalpus","testaceus","(Olivier, 1790)","j","n","n"
"801.003-.001-.","Tetratomidae","Eustrophus","dermestoides","(Fabricius, 1792)","j","3","n"
"81-.001-.001-.","Tenebrionidae","Lagria","hirta","(Linnaeus, 1758)","n","n","n"
"81-.001-.002-.","Tenebrionidae","Lagria","atripes","(Mulsant & Guillebeau, 1855)","n","n","n"
"82-.001-.002-.","Tenebrionidae","Allecula","morio","(Fabricius, 1787)","j","3","n"
"82-.003-.001-.","Tenebrionidae","Prionychus","ater","(Fabricius, 1775)","j","3","n"
"82-.008-.002-.","Tenebrionidae","Mycetochara","axillaris","(Paykull, 1799)","j","2","n"
"82-.008-.011-.","Tenebrionidae","Mycetochara","maura","(Fabricius, 1792)","j","n","n"
"83-.014-.001-.","Tenebrionidae","Bolitophagus","reticulatus","(Linnaeus, 1767)","j","3","n"
"83-.017-.001-.","Tenebrionidae","Diaperis","boleti","(Linnaeus, 1758)","j","n","n"
"83-.020-.001-.","Tenebrionidae","Platydema","violacea","(Fabricius, 1790)","j","3","n"
"83-.023-.001-.","Tenebrionidae","Corticeus","unicolor","(Piller & Mitterpacher, 1783)","j","n","n"
"83-.023-.0071.","Tenebrionidae","Corticeus","bicoloroides","(Roubal, 1933)","j","1","2"
"83-.023-.008-.","Tenebrionidae","Corticeus","fasciatus","(Fabricius, 1790)","j","2","2"
"83-.024-.001-.","Tenebrionidae","Palorus","subdepressus","(Wollaston, 1864)","n","n","n"
"83-.024-.002-.","Tenebrionidae","Palorus","depressus","(Fabricius, 1790)","n","3","n"
"83-.029-.001-.","Tenebrionidae","Latheticus","oryzae","(Waterhouse, 1880","n","3","n"
"83-.030-.001-.","Tenebrionidae","Uloma","culinaris","(Linnaeus, 1758)","j","2","n"
"841.001-.003-.","Trogidae","Trox","hispidus","(Pontoppidan, 1763","n","n","n"
"841.001-.004-.","Trogidae","Trox","scaber","(Linnaeus, 1767)","n","n","n"
"842.004-.004-.","Geotrupidae","Geotrupes","stercorarius","(Linnaeus, 1758)","n","n","n"
"842.005-.001-.","Geotrupidae","Anplotrupes","stercorosus","(Scriba, 1791)","n","n","n"
"85-.014-.019-.","Scarabaeidae","Onthophagus","coenbita","(Herbst, 1783)","n","n","n"
"85-.018n.001-.","Scarabaeidae","Calamosternus","granarius","(Linnaeus, 1767)","n","n","n"
"85-.0192.002-.","Scarabaeidae","Melinpterus","prodromus","(Brahm, 1790)","n","n","n"
"85-.019l.001-.","Scarabaeidae","Teuchestes","fossor","(Linnaeus, 1758)","n","n","n"
"85-.019n.001-.","Scarabaeidae","Volinus","sticticus","(Panzer, 1798)","n","n","n"
"85-.025-.001-.","Scarabaeidae","Serica","brunnea","(Linnaeus, 1758)","n","n","n"
"85-.043-.001-.","Scarabaeidae","Tropinta","hirta","(Poda, 1761)","n","3","n"
"85-.047-.003-.","Scarabaeidae","Protaetia","aeruginosa","(Linnaeus, 1767)","j","1","n"
"85-.047-.0061-.","Scarabaeidae","Protaetia","cuprea","(Fabricius, 1775)","n","n","n"
"85-.047-.008-.","Scarabaeidae","Protaetia","lugubris","(Herbst, 1786)","j","2","n"
"85-.048-.001-.","Scarabaeidae","Valgus","hemipterus","(Linnaeus, 1758)","j","n","n"
"86-.002-.001-.","Lucanidae","Dorcus","parallelipipedus","(Linnaeus, 1758)","j","n","n"
"86-.003-.002-.","Lucanidae","Platycerus","caraboides","(Linnaeus, 1758)","j","n","n"
"87-.004-.001-.","Cerambycidae","Prionus","coriarius","(Linnaeus, 1758)","j","n","n"
"87-.011-.001-.","Cerambycidae","Rhagium","bifasciatum","Fabricius, 1775","j","n","n"
"87-.011-.002-.","Cerambycidae","Rhagium","sycophanta","(Schrank, 1781)","j","n","n"
"87-.011-.003-.","Cerambycidae","Rhagium","mordax","(De Geer, 1775)","j","n","n"
"87-.015-.001-.","Cerambycidae","Stencorus","meridianus","(Linnaeus, 1758)","j","n","n"
"87-.023-.001-.","Cerambycidae","Grammoptera","ustulata","(Schaller, 1783)","j","n","n"
"87-.023-.002-.","Cerambycidae","Grammoptera","ruficornis","(Fabricius, 1781)","j","n","n"
"87-.024-.001-.","Cerambycidae","Alosterna","tabacicolor","(De Geer, 1775)","j","n","n"
"87-.027-.0031.","Cerambycidae","Leptura","quadrifasciata","(Linnaeus, 1758","j","n","n"
"87-.0271.001-.","Cerambycidae","Anplodera","rufipes","(Schaller, 1783)","j","3","n"
"87-.0291.001-.","Cerambycidae","Pedostrangalia","revestita","(Linnaeus, 1767)","j","2","n"
"87-.055-.001-.","Cerambycidae","Phymatodes","testaceus","(Linnaeus, 1758)","j","n","n"
"87-.0551.006-.","Cerambycidae","Poecilium","alni","(Linnaeus, 1767)","j","n","n"
"87-.058-.003-.","Cerambycidae","Clytus","arietis","(Linnaeus, 1758)","j","n","n"
"87-.060-.001-.","Cerambycidae","Plagiontus","detritus","(Linnaeus, 1758)","j","2","n"
"87-.063-.001-.","Cerambycidae","Anaglyptus","mysticus","(Linnaeus, 1758)","j","n","n"
"87-.071-.002-.","Cerambycidae","Mesosa","nebulosa","(Fabricius, 1781)","j","3","n"
"87-.078-.0011.","Cerambycidae","Leiopus","linnei","(Wallin, Nylander & Kvamme, 2009)","j","n","n"
"87-.079-.003-.","Cerambycidae","Acanthocinus","griseus","(Fabricius, 1792)","j","3","n"
"87-.080-.001-.","Cerambycidae","Exocentrus","adspersus","(Mulsant, 1846)","j","3","n"
"87-.080-.002-.","Cerambycidae","Exocentrus","lusitanus","(Linnaeus, 1767)","j","3","n"
"87-.080-.004-.","Cerambycidae","Exocentrus","punctipennis","(Mulsant & Guillebeau, 1856)","j","2","n"
"87-.081-.0071.","Cerambycidae","Agapanthia","intermedia","(Ganglbauer, 1884)","n","n","n"
"87-.082-.004-.","Cerambycidae","Saperda","scalaris","(Linnaeus, 1758)","j","n","n"
"87-.082-.006-.","Cerambycidae","Saperda","punctata","(Linnaeus, 1767)","j","1","2"
"87-.085-.001-.","Cerambycidae","Stenstola","dubia","(Laicharting, 1784)","j","n","n"
"87-.087-.001-.","Cerambycidae","Tetrops","praeustus","(Linnaeus, 1758)","j","n","n"
"88-.0061.003-.","Chrysomelidae","Oulema","obscura","(Stephens, 1831)","n","n","n"
"88-.0061.005-.","Chrysomelidae","Oulema","melanpus","(Linnaeus, 1758)","n","n","n"
"88-.0061.006-.","Chrysomelidae","Oulema","duftschmidi","(Redtenbacher, 1874)","n","n","n"
"88-.017-.071-.","Chrysomelidae","Cryptocephalus","pusillus","(Fabricius, 1777","n","n","n"
"88-.022-.001-.","Chrysomelidae","Leptintarsa","decemlineata","(Say, 1824)","n","n","n"
"88-.049-.002-.","Chrysomelidae","Phyllotreta","vittula","(Redtenbacher, 1849)","n","n","n"
"88-.049-.021-.","Chrysomelidae","Phyllotreta","nigripes","(Fabricius, 1775)","n","n","n"
"88-.050-.006-.","Chrysomelidae","Aphthona","pallida","(Bach, 1856)","n","3","n"
"88-.050-.007-.","Chrysomelidae","Aphthona","lutescens","(Gyllenhal, 1808)","n","n","n"
"88-.050-.011-.","Chrysomelidae","Aphthona","violacea","(Koch, 1803)","n","n","n"
"88-.050-.013-.","Chrysomelidae","Aphthona","atrocaerulea","(Stephens, 1831)","n","n","n"
"88-.050-.015-.","Chrysomelidae","Aphthona","euphorbiae","(Schrank, 1781)","n","n","n"
"88-.051-.001-.","Chrysomelidae","Longitarsus","pellucidus","(Foudras, 1860)","n","n","n"
"88-.051-.002-.","Chrysomelidae","Longitarsus","ochroleucus","(Marsham, 1802)","n","3","n"
"88-.051-.014-.","Chrysomelidae","Longitarsus","ferrugineus","(Foudras, 1860)","n","n","n"
"88-.051-.024-.","Chrysomelidae","Longitarsus","pratensis","(Panzer, 1794)","n","n","n"
"88-.051-.033-.","Chrysomelidae","Longitarsus","nasturtii","(Fabricius, 1792)","n","n","n"
"88-.051-.040-.","Chrysomelidae","Longitarsus","fulgens","(Foudras, 1860)","n","2","n"
"88-.051-.054-.","Chrysomelidae","Longitarsus","anchusae","(Paykull, 1799)","n","n","n"
"88-.051-.058-.","Chrysomelidae","Longitarsus","salviae","(Gruev, 1975","n","n","n"
"88-.052-.005-.","Chrysomelidae","Altica","quercetorum","(Foudras, 1860","n","3","n"
"88-.052-.007-.","Chrysomelidae","Altica","oleracea","(Linnaeus, 1758)","n","n","n"
"88-.061-.001-.","Chrysomelidae","Crepidodera","aurea","(Geoffroy, 1785)","n","n","n"
"88-.066-.003-.","Chrysomelidae","Chaetocnema","concinna","(Marsham, 1802)","n","n","n"
"88-.066-.004-.","Chrysomelidae","Chaetocnema","picipes","(Stephens, 1831","n","n","n"
"88-.066-.017-.","Chrysomelidae","Chaetocnema","hortensis","(Geoffroy, 1785)","n","n","n"
"88-.072-.007-.","Chrysomelidae","Psylliodes","chrysocephala","(Linnaeus, 1758)","n","n","n"
"88-.072-.010-.","Chrysomelidae","Psylliodes","napi","(Fabricius, 1792)","n","n","n"
"88-.072-.015-.","Chrysomelidae","Psylliodes","cuprea","(Koch, 1803)","n","n","n"
"88-.076-.005-.","Chrysomelidae","Cassida","nebulosa","(Linnaeus, 1758","n","n","n"
"881.004-.001-.","Orsodacnidae","Orsodacne","cerasi","(Linnaeus, 1758)","n","n","n"
"89-.003-.005-.","Chrysomelidae","Bruchus","rufimanus","(Bohemann, 1833)","n","n","n"
"89-.003-.011-.","Chrysomelidae","Bruchus","brachialis","(Fahraeus, 1839)","n","n","n"
"89-.003-.014-.","Chrysomelidae","Bruchus","luteicornis","(Illiger, 1794)","n","n","n"
"89-.004-.010-.","Chrysomelidae","Bruchidius","varius","(Olivier, 1795)","n","n","n"
"89-.004-.014-.","Chrysomelidae","Bruchidius","villosus","(Fabricius, 1792)","n","n","n"
"90-.003-.001-.","Anthribidae","Tropideres","albirostris","(Schaller, 1783)","j","n","n"
"90-.007-.001-.","Anthribidae","Rhaphitropis","marchica","(Herbst, 1797)","j","n","n"
"90-.010-.001-.","Anthribidae","Platystomos","albinus","(Linnaeus, 1758)","j","n","n"
"90-.012-.003-.","Anthribidae","Anthribus","nebulosus","(Forster, 1770)","n","n","n"
"91-.001-.001-.","Curculionidae","Scolytus","rugulosus","(P. Muller, 1818)","j","n","n"
"91-.001-.003-.","Curculionidae","Scolytus","intricatus","(Ratzeburg, 1837)","j","n","n"
"91-.001-.005-.","Curculionidae","Scolytus","carpini","(Ratzeburg, 1837)","j","n","n"
"91-.001-.014-.","Curculionidae","Scolytus","multistriatus","(Marsham, 1802)","j","n","n"
"91-.004-.005-.","Curculionidae","Hylastes","attenuatus","(Erichson, 1836)","j","n","n"
"91-.010-.001-.","Curculionidae","Polygraphus","grandiclava","(Thomson, 1886)","j","n","n"
"91-.011-.001-.","Curculionidae","Hylesinus","crenatus","(Fabricius, 1787)","j","n","n"
"91-.011-.002-.","Curculionidae","Hylesinus","toranio","(Danthoine, 1788)","j","n","n"
"91-.011-.003-.","Curculionidae","Hylesinus","varius","(Fabricius, 1775)","j","n","n"
"91-.027-.001-.","Curculionidae","Ernporicus","fagi","(Fabricius, 1798)","j","n","n"
"91-.028-.001-.","Curculionidae","Ernporus","tiliae","(Panzer, 1793)","j","n","n"
"91-.032-.001-.","Curculionidae","Pityogenes","chalcographus","(Linnaeus, 1761)","j","n","n"
"91-.035-.002-.","Curculionidae","Ips","acuminatus","(Gyllenhal, 1827)","j","n","n"
"91-.036-.005-.","Curculionidae","Xyleborus","mongraphus","(Fabricius, 1792)","j","n","n"
"91-.0362.001-.","Curculionidae","Anisandrus","dispar","(Fabricius, 1792)","j","n","n"
"91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","(Ratzeburg, 1837)","j","n","n"
"91-.037-.002-.","Curculionidae","Xylosandrus","germanus","(Blandford, 1894)","j","n","n"
"91-.038-.001-.","Curculionidae","Trypodendron","domesticum","(Linnaeus, 1758)","j","n","n"
"91-.038-.002-.","Curculionidae","Trypodendron","signatum","(Fabricius, 1787)","j","n","n"
"91-.038-.003-.","Curculionidae","Trypodendron","lineatum","(Olivier, 1795)","j","n","n"
"92-.001-.001-.","Curculionidae","Platypus","cylindrus","(Fabricius, 1792)","j","3","n"
"923.0041.001-.","Rhynchitidae","Neocoenrrhinus","germanicus","(Herbst, 1797)","n","n","n"
"923.0051.001-.","Rhynchitidae","Involvulus","pubescens","(Fabricius, 1775)","n","n","n"
"923.006-.001-.","Rhynchitidae","Byctiscus","betulae","(Linnaeus, 1758)","n","n","n"
"925.003-.004-.","Apionidae","Ceratapion","gibbirostre","(Gyllenhal, 1813)","n","n","n"
"925.011-.001-.","Apionidae","Kalcapion","pallipes","(Kirby, 1808)","n","n","n"
"925.015-.001-.","Apionidae","Malvapion","malvae","(Fabricius, 1775)","n","n","n"
"925.041-.002-.","Apionidae","Cyanapion","columbinum","(Germar, 1817)","n","n","n"
"925.042-.006-.","Apionidae","Oxystoma","pomonae","(Fabricius, 1798)","n","n","n"
"925.044-.001-.","Apionidae","Eutrichapion","viciae","(Paykull, 1800)","n","n","n"
"93-.015-.011-.","Curculionidae","Otiorhynchus","ligustici","(Linnaeus, 1758)","n","n","n"
"93-.021-.003-.","Curculionidae","Phyllobius","viridicollis","(Fabricius, 1792)","n","n","n"
"93-.021-.007-.","Curculionidae","Phyllobius","roboretanus","(Gredler, 1882)","n","n","n"
"93-.021-.008-.","Curculionidae","Phyllobius","oblongus","(Linnaeus, 1758)","n","n","n"
"93-.021-.014-.","Curculionidae","Phyllobius","pomaceus","Gyllenhal, 1834","n","n","n"
"93-.021-.015-.","Curculionidae","Phyllobius","glaucus","(Scopoli, 1763)","n","n","n"
"93-.021-.019-.","Curculionidae","Phyllobius","argentatus","(Linnaeus, 1758)","n","n","n"
"93-.021-.023-.","Curculionidae","Phyllobius","betulinus","(Bechstein & Scharfenberg, 1805)","n","n","n"
"93-.027-.003-.","Curculionidae","Polydrusus","aeratus","(Gravenhorst, 1807)","n","n","n"
"93-.027-.016-.","Curculionidae","Polydrusus","tereticollis","(De Geer, 1775)","n","n","n"
"93-.037-.011-.","Curculionidae","Exomias","pellucidus","(Boheman, 1834)","n","n","n"
"93-.044-.010-.","Curculionidae","Sitona","lineatus","(Linnaeus, 1758)","n","n","n"
"93-.044-.013-.","Curculionidae","Sitona","sulcifrons","(Thunberg, 1798)","n","n","n"
"93-.044-.019-.","Curculionidae","Sitona","macularius","(Marsham, 1802)","n","n","n"
"93-.044-.021-.","Curculionidae","Sitona","hispidulus","(Fabricius, 1776)","n","n","n"
"93-.044-.023-.","Curculionidae","Sitona","cylindricollis","Fahaeus, 1840","n","n","n"
"93-.044-.024-.","Curculionidae","Sitona","humeralis","Stephens, 1831","n","n","n"
"93-.077-.003-.","Curculionidae","Cossonus","linearis","(Fabricius, 1775)","j","n","n"
"93-.078-.005-.","Curculionidae","Rhyncolus","punctatulus","(Boheman, 1838","j","2","n"
"93-.079-.001-.","Curculionidae","Phloeophagus","lignarius","(Marsham, 1802)","j","n","n"
"93-.103-.001-.","Curculionidae","Lignyodes","enucleator","(Panzer, 1798)","n","3","n"
"93-.104-.019-.","Curculionidae","Tychius","picirostris","(Fabricius, 1787)","n","n","n"
"93-.104-.020-.","Curculionidae","Tychius","stephensi","(Schonherr, 1836","n","n","n"
"93-.104-.025-.","Curculionidae","Tychius","pusillus","(Germar, 1842","n","n","n"
"93-.106-.001-.","Curculionidae","Anthonmus","pomorum","(Linnaeus, 1758)","n","n","n"
"93-.106-.005-.","Curculionidae","Anthonmus","ulmi","(De Geer, 1775)","n","n","n"
"93-.106-.021-.","Curculionidae","Anthonmus","rectirostris","(Linnaeus, 1758)","n","n","n"
"93-.109-.004-.","Curculionidae","Bradybatus","kellneri","(Bach, 1854","n","n","n"
"93-.109-.006-.","Curculionidae","Bradybatus","fallax","(Gerstaecker, 1860","n","n","n"
"93-.110-.002-.","Curculionidae","Curculio","vensus","(Gravenhorst, 1807)","n","n","n"
"93-.110-.005-.","Curculionidae","Curculio","nucum","(Linnaeus, 1758","n","n","n"
"93-.110-.006-.","Curculionidae","Curculio","glandium","(Marsham, 1802","n","n","n"
"93-.1101.010-.","Curculionidae","Archarius","salicivorus","(Paykull, 1792)","n","n","n"
"93-.1101.011-.","Curculionidae","Archarius","pyrrhoceras","(Marsham, 1802)","n","n","n"
"93-.112-.004-.","Curculionidae","Magdalis","flavicornis","(Gyllenhal, 1836)","j","n","n"
"93-.112-.006-.","Curculionidae","Magdalis","cerasi","(Linnaeus, 1758)","j","n","n"
"93-.112-.008-.","Curculionidae","Magdalis","armigera","(Geoffroy, 1785)","j","n","n"
"93-.115-.002-.","Curculionidae","Hylobius","abietis","(Linnaeus, 1758)","j","n","n"
"93-.125-.019-.","Curculionidae","Hypera","miles","(Paykull, 1792)","n","n","n"
"93-.125-.030-.","Curculionidae","Hypera","nigrirostris","(Fabricius, 1775)","n","n","n"
"93-.126-.001-.","Curculionidae","Limobius","borealis","(Paykull, 1792)","n","n","n"
"93-.132-.001-.","Curculionidae","Gasterocercus","depressirostris","(Fabricius, 1792)","j","1","2"
"93-.157-.008-.","Curculionidae","Coeliodes","transversealbofasciatus","(Goeze, 1777)","n","n","n"
"93-.163-.023-.","Curculionidae","Ceutorhynchus","pallidactylus","(Marsham, 1802)","n","n","n"
"93-.163-.030-.","Curculionidae","Ceutorhynchus","assimilis","(Paykull, 1792)","n","n","n"
"93-.178-.001-.","Curculionidae","Stereonychus","fraxini","(De Geer, 1775)","n","n","n"
"93-.1804.002-.","Curculionidae","Orchestes","betuleti","(Panzer, 1795)","n","n","n"
"93-.1804.005-.","Curculionidae","Orchestes","quercus","(Linnaeus, 1758)","n","n","n"
"93-.1804.007-.","Curculionidae","Orchestes","hortorum","(Fabricius, 1792)","n","n","n"
"93-.1804.013-.","Curculionidae","Orchestes","fagi","(Linnaeus, 1758)","n","n","n"
"933.003-.001-.","Dryophthoridae","Dryophthorus","corticalis","(Paykull, 1792)","j","3","n"
